"HelpUri","ResolvedCommandName","DisplayName","ReferencedCommand","ResolvedCommand","Definition","Options","Description","OutputType","Name","CommandType","Source","Version","Visibility","ModuleName","Module","RemotingCapability","Parameters","ParameterSets"
"",,"Clear-AzSqlDatabaseVulnerabilityAssessmentSetting",,,,"None","",,"Clear-AzSqlDatabaseVulnerabilityAssessmentSetting","Alias","Az.Sql","3.7.1","Public","Az.Sql","Az.Sql","PowerShell",,
"",,"Clear-AzSqlDatabaseVulnerabilityAssessmentSetting",,,,"None","",,"Clear-AzSqlDatabaseVulnerabilityAssessmentSetting","Alias","Az.Sql","3.4.0","Public","Az.Sql","Az.Sql","PowerShell",,
"",,"Clear-AzSqlInstanceDatabaseVulnerabilityAssessmentSetting",,,,"None","",,"Clear-AzSqlInstanceDatabaseVulnerabilityAssessmentSetting","Alias","Az.Sql","3.7.1","Public","Az.Sql","Az.Sql","PowerShell",,
"",,"Clear-AzSqlInstanceDatabaseVulnerabilityAssessmentSetting",,,,"None","",,"Clear-AzSqlInstanceDatabaseVulnerabilityAssessmentSetting","Alias","Az.Sql","3.4.0","Public","Az.Sql","Az.Sql","PowerShell",,
"",,"Clear-AzSynapseSqlAdvancedThreatProtectionSetting",,,,"None","",,"Clear-AzSynapseSqlAdvancedThreatProtectionSetting","Alias","Az.Synapse","1.1.0","Public","Az.Synapse","Az.Synapse","PowerShell",,
"",,"Clear-AzSynapseSqlPoolAdvancedThreatProtectionSetting",,,,"None","",,"Clear-AzSynapseSqlPoolAdvancedThreatProtectionSetting","Alias","Az.Synapse","1.1.0","Public","Az.Synapse","Az.Synapse","PowerShell",,
"",,"Clear-AzSynapseSqlPoolVulnerabilityAssessmentSetting",,,,"None","",,"Clear-AzSynapseSqlPoolVulnerabilityAssessmentSetting","Alias","Az.Synapse","1.1.0","Public","Az.Synapse","Az.Synapse","PowerShell",,
"",,"Clear-AzSynapseSqlVulnerabilityAssessmentSetting",,,,"None","",,"Clear-AzSynapseSqlVulnerabilityAssessmentSetting","Alias","Az.Synapse","1.1.0","Public","Az.Synapse","Az.Synapse","PowerShell",,
"",,"Disable-AzSqlServerAdvancedThreatProtection",,,,"None","",,"Disable-AzSqlServerAdvancedThreatProtection","Alias","Az.Sql","3.7.1","Public","Az.Sql","Az.Sql","PowerShell",,
"",,"Disable-AzSqlServerAdvancedThreatProtection",,,,"None","",,"Disable-AzSqlServerAdvancedThreatProtection","Alias","Az.Sql","3.4.0","Public","Az.Sql","Az.Sql","PowerShell",,
"",,"Disable-AzStorageSoftDelete",,,,"None","",,"Disable-AzStorageSoftDelete","Alias","Az.Storage","4.3.0","Public","Az.Storage","Az.Storage","PowerShell",,
"",,"Disable-AzStorageSoftDelete",,,,"None","",,"Disable-AzStorageSoftDelete","Alias","Az.Storage","3.9.0","Public","Az.Storage","Az.Storage","PowerShell",,
"",,"Disable-AzSynapseSqlAdvancedThreatProtection",,,,"None","",,"Disable-AzSynapseSqlAdvancedThreatProtection","Alias","Az.Synapse","1.1.0","Public","Az.Synapse","Az.Synapse","PowerShell",,
"",,"Disable-LabHostRemoting",,,,"None","",,"Disable-LabHostRemoting","Alias","AutomatedLab","5.44.0","Public","AutomatedLab","AutomatedLab","PowerShell",,
"",,"Disable-LabHostRemoting",,,,"None","",,"Disable-LabHostRemoting","Alias","AutomatedLab","5.44.0","Public","AutomatedLab","AutomatedLab","PowerShell",,
"",,"Disable-PhysicalDiskIndication",,,,"None","",,"Disable-PhysicalDiskIndication","Alias","Storage","2.0.0.0","Public","Storage","Storage","PowerShell",,
"",,"Disable-PhysicalDiskIndication",,,,"None","",,"Disable-PhysicalDiskIndication","Alias","VMDirectStorage","1.0.0.0","Public","VMDirectStorage","VMDirectStorage","PowerShell",,
"",,"Disable-StorageDiagnosticLog",,,,"None","",,"Disable-StorageDiagnosticLog","Alias","Storage","2.0.0.0","Public","Storage","Storage","PowerShell",,
"",,"Disable-StorageDiagnosticLog",,,,"None","",,"Disable-StorageDiagnosticLog","Alias","VMDirectStorage","1.0.0.0","Public","VMDirectStorage","VMDirectStorage","PowerShell",,
"",,"Dismount-AppPackageVolume",,,,"None","",,"Dismount-AppPackageVolume","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Edit-ASRRecoveryPlan",,,,"None","",,"Edit-ASRRecoveryPlan","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Edit-ASRRecoveryPlan",,,,"None","",,"Edit-ASRRecoveryPlan","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Edit-ASRRP",,,,"None","",,"Edit-ASRRP","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Edit-ASRRP",,,,"None","",,"Edit-ASRRP","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Enable-AdlStoreKeyVault",,,,"None","",,"Enable-AdlStoreKeyVault","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Enable-AzSqlServerAdvancedThreatProtection",,,,"None","",,"Enable-AzSqlServerAdvancedThreatProtection","Alias","Az.Sql","3.7.1","Public","Az.Sql","Az.Sql","PowerShell",,
"",,"Enable-AzSqlServerAdvancedThreatProtection",,,,"None","",,"Enable-AzSqlServerAdvancedThreatProtection","Alias","Az.Sql","3.4.0","Public","Az.Sql","Az.Sql","PowerShell",,
"",,"Enable-AzStorageSoftDelete",,,,"None","",,"Enable-AzStorageSoftDelete","Alias","Az.Storage","4.3.0","Public","Az.Storage","Az.Storage","PowerShell",,
"",,"Enable-AzStorageSoftDelete",,,,"None","",,"Enable-AzStorageSoftDelete","Alias","Az.Storage","3.9.0","Public","Az.Storage","Az.Storage","PowerShell",,
"",,"Enable-AzSynapseSqlAdvancedThreatProtection",,,,"None","",,"Enable-AzSynapseSqlAdvancedThreatProtection","Alias","Az.Synapse","1.1.0","Public","Az.Synapse","Az.Synapse","PowerShell",,
"",,"Enable-PhysicalDiskIndication",,,,"None","",,"Enable-PhysicalDiskIndication","Alias","Storage","2.0.0.0","Public","Storage","Storage","PowerShell",,
"",,"Enable-PhysicalDiskIndication",,,,"None","",,"Enable-PhysicalDiskIndication","Alias","VMDirectStorage","1.0.0.0","Public","VMDirectStorage","VMDirectStorage","PowerShell",,
"",,"Enable-StorageDiagnosticLog",,,,"None","",,"Enable-StorageDiagnosticLog","Alias","Storage","2.0.0.0","Public","Storage","Storage","PowerShell",,
"",,"Enable-StorageDiagnosticLog",,,,"None","",,"Enable-StorageDiagnosticLog","Alias","VMDirectStorage","1.0.0.0","Public","VMDirectStorage","VMDirectStorage","PowerShell",,
"",,"Export-AdlStoreChildItemProperties",,,,"None","",,"Export-AdlStoreChildItemProperties","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Export-AdlStoreItem",,,,"None","",,"Export-AdlStoreItem","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Export-AzAsInstanceLog",,,,"None","",,"Export-AzAsInstanceLog","Alias","Az.AnalysisServices","1.1.4","Public","Az.AnalysisServices","Az.AnalysisServices","PowerShell",,
"",,"Export-AzDataLakeStoreChildItemProperties",,,,"None","",,"Export-AzDataLakeStoreChildItemProperties","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Export-AzRedisEnterpriseCacheDatabase",,,,"None","",,"Export-AzRedisEnterpriseCacheDatabase","Alias","Az.RedisEnterpriseCache","1.0.0","Public","Az.RedisEnterpriseCache","Az.RedisEnterpriseCache","PowerShell",,
"",,"Export-AzureAsInstanceLog",,,,"None","",,"Export-AzureAsInstanceLog","Alias","Az.AnalysisServices","1.1.4","Public","Az.AnalysisServices","Az.AnalysisServices","PowerShell",,
"",,"Export-VMCheckpoint",,,,"None","",,"Export-VMCheckpoint","Alias","Hyper-V","2.0.0.0","Public","Hyper-V","Hyper-V","PowerShell",,
"",,"Export-VMCheckpoint",,,,"None","",,"Export-VMCheckpoint","Alias","VMDirectStorage","1.0.0.0","Public","VMDirectStorage","VMDirectStorage","PowerShell",,
"",,"Flush-Volume",,,,"None","",,"Flush-Volume","Alias","Storage","2.0.0.0","Public","Storage","Storage","PowerShell",,
"",,"Flush-Volume",,,,"None","",,"Flush-Volume","Alias","VMDirectStorage","1.0.0.0","Public","VMDirectStorage","VMDirectStorage","PowerShell",,
"",,"Get-AdlAnalyticsAccount",,,,"None","",,"Get-AdlAnalyticsAccount","Alias","Az.DataLakeAnalytics","1.0.2","Public","Az.DataLakeAnalytics","Az.DataLakeAnalytics","PowerShell",,
"",,"Get-AdlAnalyticsComputePolicy",,,,"None","",,"Get-AdlAnalyticsComputePolicy","Alias","Az.DataLakeAnalytics","1.0.2","Public","Az.DataLakeAnalytics","Az.DataLakeAnalytics","PowerShell",,
"",,"Get-AdlAnalyticsDataSource",,,,"None","",,"Get-AdlAnalyticsDataSource","Alias","Az.DataLakeAnalytics","1.0.2","Public","Az.DataLakeAnalytics","Az.DataLakeAnalytics","PowerShell",,
"",,"Get-AdlAnalyticsFirewallRule",,,,"None","",,"Get-AdlAnalyticsFirewallRule","Alias","Az.DataLakeAnalytics","1.0.2","Public","Az.DataLakeAnalytics","Az.DataLakeAnalytics","PowerShell",,
"",,"Get-AdlCatalogItem",,,,"None","",,"Get-AdlCatalogItem","Alias","Az.DataLakeAnalytics","1.0.2","Public","Az.DataLakeAnalytics","Az.DataLakeAnalytics","PowerShell",,
"",,"Get-AdlCatalogItemAclEntry",,,,"None","",,"Get-AdlCatalogItemAclEntry","Alias","Az.DataLakeAnalytics","1.0.2","Public","Az.DataLakeAnalytics","Az.DataLakeAnalytics","PowerShell",,
"",,"Get-AdlJob",,,,"None","",,"Get-AdlJob","Alias","Az.DataLakeAnalytics","1.0.2","Public","Az.DataLakeAnalytics","Az.DataLakeAnalytics","PowerShell",,
"",,"Get-AdlJobPipeline",,,,"None","",,"Get-AdlJobPipeline","Alias","Az.DataLakeAnalytics","1.0.2","Public","Az.DataLakeAnalytics","Az.DataLakeAnalytics","PowerShell",,
"",,"Get-AdlJobRecurrence",,,,"None","",,"Get-AdlJobRecurrence","Alias","Az.DataLakeAnalytics","1.0.2","Public","Az.DataLakeAnalytics","Az.DataLakeAnalytics","PowerShell",,
"",,"Get-AdlStore",,,,"None","",,"Get-AdlStore","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AdlStoreChildItem",,,,"None","",,"Get-AdlStoreChildItem","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AdlStoreChildItemSummary",,,,"None","",,"Get-AdlStoreChildItemSummary","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AdlStoreDeletedItem",,,,"None","",,"Get-AdlStoreDeletedItem","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AdlStoreFirewallRule",,,,"None","",,"Get-AdlStoreFirewallRule","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AdlStoreItem",,,,"None","",,"Get-AdlStoreItem","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AdlStoreItemAclEntry",,,,"None","",,"Get-AdlStoreItemAclEntry","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AdlStoreItemContent",,,,"None","",,"Get-AdlStoreItemContent","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AdlStoreItemOwner",,,,"None","",,"Get-AdlStoreItemOwner","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AdlStoreItemPermission",,,,"None","",,"Get-AdlStoreItemPermission","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AdlStoreTrustedIdProvider",,,,"None","",,"Get-AdlStoreTrustedIdProvider","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AdlStoreVirtualNetworkRule",,,,"None","",,"Get-AdlStoreVirtualNetworkRule","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Get-AppPackage",,,,"None","",,"Get-AppPackage","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Get-AppPackageAutoUpdateSettings",,,,"None","",,"Get-AppPackageAutoUpdateSettings","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Get-AppPackageDefaultVolume",,,,"None","",,"Get-AppPackageDefaultVolume","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Get-AppPackageLastError",,,,"None","",,"Get-AppPackageLastError","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Get-AppPackageLog",,,,"None","",,"Get-AppPackageLog","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Get-AppPackageManifest",,,,"None","",,"Get-AppPackageManifest","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Get-AppPackageVolume",,,,"None","",,"Get-AppPackageVolume","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Get-AppProvisionedPackage",,,,"None","",,"Get-AppProvisionedPackage","Alias","Dism","3.0","Public","Dism","Dism","PowerShell",,
"",,"Get-ASRAlertSetting",,,,"None","",,"Get-ASRAlertSetting","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRAlertSetting",,,,"None","",,"Get-ASRAlertSetting","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASREvent",,,,"None","",,"Get-ASREvent","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASREvent",,,,"None","",,"Get-ASREvent","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRFabric",,,,"None","",,"Get-ASRFabric","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRFabric",,,,"None","",,"Get-ASRFabric","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRJob",,,,"None","",,"Get-ASRJob","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRJob",,,,"None","",,"Get-ASRJob","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRNetwork",,,,"None","",,"Get-ASRNetwork","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRNetwork",,,,"None","",,"Get-ASRNetwork","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRNetworkMapping",,,,"None","",,"Get-ASRNetworkMapping","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRNetworkMapping",,,,"None","",,"Get-ASRNetworkMapping","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRNotificationSetting",,,,"None","",,"Get-ASRNotificationSetting","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRNotificationSetting",,,,"None","",,"Get-ASRNotificationSetting","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRPolicy",,,,"None","",,"Get-ASRPolicy","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRPolicy",,,,"None","",,"Get-ASRPolicy","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRProtectableItem",,,,"None","",,"Get-ASRProtectableItem","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRProtectableItem",,,,"None","",,"Get-ASRProtectableItem","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRProtectionContainer",,,,"None","",,"Get-ASRProtectionContainer","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRProtectionContainer",,,,"None","",,"Get-ASRProtectionContainer","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRProtectionContainerMapping",,,,"None","",,"Get-ASRProtectionContainerMapping","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRProtectionContainerMapping",,,,"None","",,"Get-ASRProtectionContainerMapping","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRRecoveryPlan",,,,"None","",,"Get-ASRRecoveryPlan","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRRecoveryPlan",,,,"None","",,"Get-ASRRecoveryPlan","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRRecoveryPoint",,,,"None","",,"Get-ASRRecoveryPoint","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRRecoveryPoint",,,,"None","",,"Get-ASRRecoveryPoint","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRReplicationProtectedItem",,,,"None","",,"Get-ASRReplicationProtectedItem","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRReplicationProtectedItem",,,,"None","",,"Get-ASRReplicationProtectedItem","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRRP",,,,"None","",,"Get-ASRRP","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRRP",,,,"None","",,"Get-ASRRP","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRServicesProvider",,,,"None","",,"Get-ASRServicesProvider","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRServicesProvider",,,,"None","",,"Get-ASRServicesProvider","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRStorageClassification",,,,"None","",,"Get-ASRStorageClassification","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRStorageClassification",,,,"None","",,"Get-ASRStorageClassification","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRStorageClassificationMapping",,,,"None","",,"Get-ASRStorageClassificationMapping","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRStorageClassificationMapping",,,,"None","",,"Get-ASRStorageClassificationMapping","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRvCenter",,,,"None","",,"Get-ASRvCenter","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-ASRvCenter",,,,"None","",,"Get-ASRvCenter","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Get-AssertionOperator",,,,"None","",,"Get-AssertionOperator","Alias","Pester","5.3.3","Public","Pester","Pester","PowerShell",,
"",,"Get-AssertionOperator",,,,"None","",,"Get-AssertionOperator","Alias","Pester","5.3.1","Public","Pester","Pester","PowerShell",,
"",,"Get-AssertionOperator",,,,"None","",,"Get-AssertionOperator","Alias","Pester","5.2.1","Public","Pester","Pester","PowerShell",,
"",,"Get-AssertionOperator",,,,"None","",,"Get-AssertionOperator","Alias","Pester","5.2.2","Public","Pester","Pester","PowerShell",,
"",,"Get-AzADServicePrincipalCredential",,,,"None","",,"Get-AzADServicePrincipalCredential","Alias","Az.Resources","5.4.0","Public","Az.Resources","Az.Resources","PowerShell",,
"",,"Get-AzADServicePrincipalCredential",,,,"None","",,"Get-AzADServicePrincipalCredential","Alias","Az.Resources","4.2.0","Public","Az.Resources","Az.Resources","PowerShell",,
"",,"Get-AzAks",,,,"None","",,"Get-AzAks","Alias","Az.Aks","3.1.2","Public","Az.Aks","Az.Aks","PowerShell",,
"",,"Get-AzAks",,,,"None","",,"Get-AzAks","Alias","Az.Aks","2.2.0","Public","Az.Aks","Az.Aks","PowerShell",,
